date,10y_treasury_rate
1/1/2011,0.033
1/2/2011,0.033
1/3/2011,0.0336
1/4/2011,0.0336
1/5/2011,0.035
1/6/2011,0.0344
1/7/2011,0.0334
1/8/2011,0.0334
1/9/2011,0.0334
1/10/2011,0.0332
1/11/2011,0.0337
1/12/2011,0.034
1/13/2011,0.0334
1/14/2011,0.0335
1/15/2011,0.0335
1/16/2011,0.0335
1/17/2011,0.0335
1/18/2011,0.0339
1/19/2011,0.0337
1/20/2011,0.0347
1/21/2011,0.0344
1/22/2011,0.0344
1/23/2011,0.0344
1/24/2011,0.0343
1/25/2011,0.0335
1/26/2011,0.0345
1/27/2011,0.0342
1/28/2011,0.0336
1/29/2011,0.0336
1/30/2011,0.0336
1/31/2011,0.0342
2/1/2011,0.0348
2/2/2011,0.0352
2/3/2011,0.0358
2/4/2011,0.0368
2/5/2011,0.0368
2/6/2011,0.0368
2/7/2011,0.0368
2/8/2011,0.0375
2/9/2011,0.0365
2/10/2011,0.037
2/11/2011,0.0364
2/12/2011,0.0364
2/13/2011,0.0364
2/14/2011,0.0362
2/15/2011,0.0361
2/16/2011,0.0362
2/17/2011,0.0358
2/18/2011,0.0359
2/19/2011,0.0359
2/20/2011,0.0359
2/21/2011,0.0359
2/22/2011,0.0346
2/23/2011,0.0349
2/24/2011,0.0346
2/25/2011,0.0342
2/26/2011,0.0342
2/27/2011,0.0342
2/28/2011,0.0342
3/1/2011,0.0341
3/2/2011,0.0346
3/3/2011,0.0358
3/4/2011,0.0349
3/5/2011,0.0349
3/6/2011,0.0349
3/7/2011,0.0351
3/8/2011,0.0356
3/9/2011,0.0348
3/10/2011,0.0337
3/11/2011,0.034
3/12/2011,0.034
3/13/2011,0.034
3/14/2011,0.0336
3/15/2011,0.0333
3/16/2011,0.0322
3/17/2011,0.0325
3/18/2011,0.0328
3/19/2011,0.0328
3/20/2011,0.0328
3/21/2011,0.0334
3/22/2011,0.0334
3/23/2011,0.0336
3/24/2011,0.0342
3/25/2011,0.0346
